
i,N,M,t,
2,50,3437,0.011953,
1,294,5000,0.012151,
2,294,5000,0.386380,
1,50,3449,0.001392,
2,50,3449,0.012001,
1,295,5000,0.012147,
2,295,5000,0.392096,
1,50,3461,0.001376,
2,50,3461,0.011887,
1,297,5000,0.012218,
2,297,5000,0.396316,
1,50,3474,0.001395,
2,50,3474,0.011882,
1,298,5000,0.012375,
2,298,5000,0.380521,
1,50,3486,0.001384,
2,50,3486,0.012171,
1,299,5000,0.012450,
2,299,5000,0.389379,
1,50,3498,0.001465,
2,50,3498,0.012161,
1,301,5000,0.012490,
2,301,5000,0.410206,
1,50,3510,0.001447,
2,50,3510,0.012092,
1,302,5000,0.008471,
2,302,5000,0.397958,
1,50,3523,0.001433,
2,50,3523,0.012099,
1,303,5000,0.012624,
2,303,5000,0.395290,
1,50,3535,0.001420,
2,50,3535,0.011709,
1,305,5000,0.008638,
2,305,5000,0.407901,
1,50,3547,0.001407,
2,50,3547,0.012280,
1,306,5000,0.008350,
2,306,5000,0.411206,
1,50,3560,0.001424,
2,50,3560,0.012416,
1,307,5000,0.008527,
2,307,5000,0.407021,
1,50,3572,0.001438,
2,50,3572,0.012085,
1,308,5000,0.012929,
2,308,5000,0.411584,
1,50,3584,0.001423,
2,50,3584,0.012675,
1,310,5000,0.012771,
2,310,5000,0.422838,
1,50,3596,0.001501,
2,50,3596,0.012690,
1,311,5000,0.012722,
2,311,5000,0.423323,
1,50,3609,0.001428,
2,50,3609,0.012672,
1,312,5000,0.012950,
2,312,5000,0.424307,
1,50,3621,0.001462,
2,50,3621,0.012789,
1,314,5000,0.013065,
2,314,5000,0.427311,
1,50,3633,0.000000,
2,50,3633,0.010026,
1,315,5000,0.013197,
2,315,5000,0.437289,
1,50,3645,0.001487,
2,50,3645,0.012455,
1,316,5000,0.013300,
2,316,5000,0.431339,
1,50,3658,0.001470,
2,50,3658,0.012564,
1,318,5000,0.009052,
2,318,5000,0.438789,
1,50,3670,0.001462,
2,50,3670,0.012392,
1,319,5000,0.013344,
2,319,5000,0.442002,
1,50,3682,0.001479,
2,50,3682,0.012557,
1,320,5000,0.013081,
2,320,5000,0.443606,
1,50,3694,0.001514,
2,50,3694,0.012942,
1,322,5000,0.013148,
2,322,5000,0.446205,
1,50,3707,0.001487,
2,50,3707,0.012710,
1,323,5000,0.005591,
2,323,5000,0.441768,
1,50,3719,0.001480,
2,50,3719,0.012584,
1,324,5000,0.013666,
2,324,5000,0.454148,
1,50,3731,0.001509,
2,50,3731,0.012885,
1,326,5000,0.012544,
2,326,5000,0.462675,
1,50,3744,0.001508,
2,50,3744,0.013200,
1,327,5000,0.013774,
2,327,5000,0.464927,
1,50,3756,0.001511,
2,50,3756,0.012818,
1,328,5000,0.013813,
2,328,5000,0.450615,
1,50,3768,0.001555,
2,50,3768,0.013298,
1,330,5000,0.013609,
2,330,5000,0.466635,
1,50,3780,0.001513,
2,50,3780,0.013484,
